y_trust2005,y_trust2006,y_trust2007,y_trust2008,x_age2005,x_age2006,x_age2007,x_age2008,x_male2005,x_male2006,x_male2007,x_male2008,d_threat2005,d_threat2006,d_threat2007,d_threat2008,x_education2005,x_education2006,x_education2007,x_education2008,x_income2005,x_income2006,x_income2007,x_income2008,idpers
NA,NA,NA,5,NA,NA,NA,46,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,2,NA,NA,NA,0,20593
NA,NA,NA,5,NA,NA,NA,18,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,2,NA,NA,NA,0,20594
NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,20595
NA,NA,NA,8,NA,NA,NA,14,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0,20596
NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,20597
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20598
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20599
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20600
10,NA,7,NA,71,NA,73,NA,1,NA,1,NA,0,NA,0,NA,1,NA,1,NA,NA,NA,NA,NA,20601
NA,NA,NA,NA,69,NA,71,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,20602
NA,NA,NA,NA,22,NA,24,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,20603
8,7,6,7,49,50,51,52,1,1,1,1,0,0,0,0,9,9,9,9,2,1,2,3,20604
7,8,7,6,47,48,49,50,0,0,0,0,1,0,0,0,9,9,9,9,0,NA,0,0,20605
NA,4,3,3,19,20,21,22,1,1,1,1,NA,1,0,1,4,4,4,4,NA,1,1,2,20606
NA,NA,NA,NA,17,18,19,20,0,0,0,0,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,20607
6,7,5,6,43,44,45,46,0,0,0,0,0,0,0,0,4,4,4,4,1,1,1,0,20608
7,3,NA,5,40,41,42,43,1,1,1,1,0,0,0,0,4,4,4,4,2,NA,1,1,20609
8,8,8,10,71,72,73,74,1,1,1,1,0,0,0,0,4,4,4,4,NA,NA,NA,NA,20610
NA,NA,NA,NA,80,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,20611
NA,NA,NA,NA,NA,25,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,20612
7,7,7,8,65,66,67,68,1,1,1,1,1,0,0,0,6,6,6,6,1,1,0,1,20613
NA,9,10,10,38,39,40,41,0,0,0,0,NA,0,1,0,10,10,10,10,NA,1,1,1,20614
NA,NA,7,8,37,38,39,40,1,1,1,1,NA,NA,0,0,10,10,10,10,NA,NA,3,3,20615
NA,NA,NA,NA,2,3,4,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20616
6,7,NA,NA,27,28,NA,NA,1,1,NA,NA,0,0,NA,NA,9,9,NA,NA,2,2,NA,NA,20617
NA,NA,NA,NA,58,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,20618
10,NA,NA,NA,57,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,20619
NA,NA,NA,NA,26,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,20620
7,5,7,8,45,46,47,48,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,20621
5,NA,NA,NA,40,41,42,43,1,1,1,1,0,NA,NA,NA,4,4,4,4,3,NA,NA,NA,20622
NA,NA,NA,NA,6,7,8,9,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,20623
10,NA,NA,NA,58,NA,60,NA,1,NA,1,NA,0,NA,NA,NA,0,NA,0,NA,2,NA,NA,NA,20624
NA,NA,NA,NA,NA,63,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,20625
NA,6,NA,NA,NA,65,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,3,NA,NA,20626
7,8,7,7,55,56,57,58,1,1,1,1,0,0,0,0,4,4,4,4,3,2,3,3,20627
NA,NA,NA,NA,57,58,59,60,1,1,1,1,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,20628
8,10,8,8,55,56,57,58,0,0,0,0,0,0,0,0,4,4,4,4,3,0,0,2,20629
7,NA,NA,NA,59,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,9,NA,NA,NA,2,NA,NA,NA,20630
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20631
0,0,0,5,54,55,56,57,1,1,1,1,0,0,0,0,7,7,7,7,1,NA,NA,NA,20632
7,6,6,6,38,39,40,41,0,0,0,0,0,0,1,1,5,5,5,5,2,3,3,3,20633
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20634
NA,NA,NA,NA,NA,73,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,20635
NA,NA,NA,5,NA,NA,NA,46,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,10,NA,NA,NA,3,20636
NA,NA,NA,3,NA,NA,NA,44,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,10,NA,NA,NA,NA,20637
NA,NA,NA,8,NA,NA,NA,15,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,20638
NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,20639
7,5,4,7,46,47,48,49,1,1,1,1,1,1,0,1,4,4,4,4,3,3,3,3,20640
6,5,6,7,44,45,46,47,0,0,0,0,1,0,0,0,4,4,4,4,0,0,NA,NA,20641
7,5,8,7,19,20,21,22,0,0,0,0,0,0,0,0,4,4,4,4,0,1,1,1,20642
5,3,NA,NA,17,18,NA,NA,0,0,NA,NA,1,0,NA,NA,1,4,NA,NA,0,1,NA,NA,20643
5,7,6,6,15,16,17,18,0,0,0,0,0,0,0,0,1,1,1,1,NA,0,0,0,20644
NA,10,7,5,13,14,15,16,0,0,0,0,NA,0,0,0,0,0,0,1,NA,NA,NA,0,20645
7,6,7,5,61,62,63,64,1,1,1,1,0,0,0,0,7,7,7,7,3,3,3,3,20646
4,8,7,5,59,60,61,62,0,0,0,0,0,0,0,0,4,6,6,6,NA,NA,1,0,20647
7,8,7,6,23,24,25,26,0,0,0,0,0,0,0,0,6,6,6,6,0,2,3,2,20648
6,NA,NA,NA,20,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,20649
6,8,7,5,18,19,20,21,1,1,1,1,0,0,0,0,1,1,6,6,NA,NA,NA,NA,20650
NA,NA,NA,NA,53,54,55,56,1,1,1,1,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,20651
8,5,10,10,44,45,46,47,0,0,0,0,0,0,0,0,4,4,4,4,NA,NA,NA,NA,20652
NA,NA,3,2,19,20,21,22,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,1,1,20653
8,9,9,8,39,40,41,42,1,1,1,1,0,0,0,0,7,7,7,7,2,2,2,3,20654
NA,NA,NA,NA,37,38,39,40,0,0,0,0,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,20655
5,7,6,7,32,33,34,35,1,1,1,1,0,0,0,0,4,4,4,4,2,2,NA,2,20656
NA,NA,NA,NA,10,11,12,13,1,1,1,1,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,20657
NA,NA,NA,NA,7,8,9,10,1,1,1,1,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,20658
NA,NA,NA,NA,7,8,9,10,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,20659
NA,NA,NA,NA,49,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,20660
4,10,NA,NA,48,49,NA,NA,0,0,NA,NA,0,0,NA,NA,10,10,NA,NA,NA,NA,NA,NA,20661
NA,NA,NA,NA,20,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,20662
NA,7,NA,NA,13,14,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,20663
8,10,7,8,63,64,65,66,1,1,1,1,0,0,0,0,7,7,7,7,NA,NA,NA,NA,20664
NA,5,NA,NA,58,59,60,NA,0,0,0,NA,0,0,NA,NA,6,6,6,NA,NA,NA,NA,NA,20665
6,8,6,5,61,62,63,64,1,1,1,1,0,0,0,0,4,4,4,4,2,1,3,2,20666
NA,NA,NA,NA,57,58,59,60,0,0,0,0,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,20667
NA,NA,8,NA,NA,43,44,45,NA,1,1,1,NA,NA,0,NA,NA,4,4,4,NA,NA,2,NA,20668
NA,7,5,6,NA,37,38,39,NA,0,0,0,NA,0,0,0,NA,9,9,9,NA,1,1,1,20669
NA,NA,NA,NA,NA,7,8,9,NA,1,1,1,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,20670
NA,NA,NA,NA,NA,5,6,7,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,20671
7,8,7,8,38,39,40,41,0,0,0,0,0,0,0,0,4,4,4,4,NA,NA,NA,NA,20672
6,6,5,NA,43,44,45,46,1,1,1,1,0,0,0,NA,4,4,4,4,3,3,3,NA,20673
NA,NA,NA,NA,10,11,12,13,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,20674
NA,NA,NA,NA,8,9,10,11,1,1,1,1,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,20675
